,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
6608,9,0,1,4.2,2212,441,9,22,1700.0,5004
6609,18,0,1,4.4,2039,443,980,18,1200.0,5004
6610,15,1,1,4.4,3651,443,15,15,1300.0,5004
6611,13,0,0,4.3,606,304,217,13,1300.0,5004
6612,23,1,1,4.3,3484,443,76,23,1700.0,5004
6614,15,0,1,4.3,446,441,121,65,2000.0,5004
6615,9,0,0,4.3,1028,443,298,16,1500.0,5004
6616,16,0,1,4.3,595,94,980,16,2500.0,5004
6617,18,1,1,4.4,484,304,328,65,1900.0,5004
6618,22,1,0,4.3,1703,508,298,16,1300.0,5004
6619,13,0,1,4.4,108,443,980,13,1000.0,5004
6620,9,0,1,4.3,474,441,298,151,3000.0,5004
6621,13,0,0,4.3,2240,508,328,21,1100.0,5004
6622,13,0,1,4.3,284,304,328,13,1200.0,5004
6623,16,0,1,4.1,209,590,217,16,1000.0,5004
6624,19,1,1,4.2,2270,304,980,19,1400.0,5004
6625,13,0,0,4.2,1279,508,324,13,1100.0,5004
6626,19,1,1,4.0,932,508,980,19,1000.0,5004
6628,17,0,1,4.1,93,441,324,17,1000.0,5004
6629,20,0,0,4.2,2020,166,124,6,1200.0,5004
6630,22,0,1,3.9,680,508,980,22,1200.0,5004
6631,19,0,1,4.2,538,590,124,19,1500.0,5004
6633,13,0,0,3.9,378,441,357,76,1000.0,5004
6634,13,0,0,4.2,38,351,357,13,2000.0,5004
6635,21,0,0,4.1,1543,443,324,27,1200.0,5004
6636,11,0,1,4.1,608,590,37,82,2800.0,5004
6637,11,0,0,3.8,617,590,298,11,3000.0,5004
6638,13,0,1,3.9,747,508,324,21,1500.0,5004
6639,13,0,0,3.9,191,304,357,151,600.0,5004
6640,16,0,0,2.7,402,590,324,776,1000.0,5004
6641,22,0,0,3.9,234,22,328,22,1000.0,5004
6642,13,0,0,3.7,293,441,324,70,1000.0,5004
6643,9,0,0,4.0,93,441,298,151,2000.0,5004
6645,8,0,0,4.0,62,473,298,151,1500.0,5004
6646,15,0,1,4.0,196,590,36,15,3000.0,5004
6647,10,0,1,3.8,73,166,357,58,1200.0,5004
6648,9,0,0,3.9,72,443,298,9,2500.0,5004
6649,11,0,1,4.0,98,473,298,19,2400.0,5004
6650,16,0,1,3.8,108,473,357,776,1400.0,5004
6651,6,0,0,4.1,259,590,980,49,1200.0,5004
6652,13,0,1,4.2,258,590,980,13,1500.0,5004
6660,44,1,1,4.7,4657,332,40,34,1300.0,5004
6661,23,0,1,4.0,323,332,298,23,1300.0,5004
6665,14,1,0,3.9,77,717,1074,208,800.0,5004
6669,5,1,0,4.1,323,717,2321,5,700.0,5004
6670,34,1,0,4.0,152,1760,134,17,350.0,5004
6671,10,1,0,4.0,100,717,1074,65,150.0,5004
6672,17,1,0,3.9,110,1760,1074,17,200.0,5004
6673,10,0,0,3.9,43,1760,137,22,200.0,5004
6675,44,0,0,3.8,286,122,143,24,500.0,5004
6679,18,0,0,3.7,73,718,88,16,250.0,5004
6680,20,1,1,4.4,1110,508,980,47,1200.0,5004
6681,13,0,0,4.3,606,304,217,13,1300.0,5004
6682,14,0,1,4.1,1327,443,980,14,2100.0,5004
6683,23,1,1,4.3,3484,443,76,23,1700.0,5004
6685,16,0,1,4.3,595,94,980,16,2500.0,5004
6686,18,1,1,4.4,484,304,328,65,1900.0,5004
6687,45,1,1,4.5,1394,508,980,162,1700.0,5004
6688,13,0,1,4.4,108,443,980,13,1000.0,5004
6689,14,0,1,4.2,332,443,980,125,1000.0,5004
6690,13,0,0,4.3,2240,508,328,21,1100.0,5004
6691,13,0,1,4.3,284,304,328,13,1200.0,5004
6692,16,0,1,4.1,209,590,217,16,1000.0,5004
6693,19,1,1,4.2,2270,304,980,19,1400.0,5004
6694,13,0,0,4.2,1279,508,324,13,1100.0,5004
6695,14,1,1,4.3,500,443,980,162,1300.0,5004
6696,20,1,1,4.2,980,473,980,20,1000.0,5004
6697,19,1,1,4.0,932,508,980,19,1000.0,5004
6699,17,0,1,4.1,93,441,324,17,1000.0,5004
6700,22,0,1,3.9,680,508,980,22,1200.0,5004
6701,19,0,1,4.2,538,590,124,19,1500.0,5004
6702,9,0,1,4.1,270,441,40,1136,4000.0,5004
6703,23,1,1,4.1,765,473,980,23,1200.0,5004
6705,13,0,0,3.9,378,441,357,76,1000.0,5004
6706,14,1,0,4.0,162,351,980,1136,1700.0,5004
6707,17,1,1,4.3,225,590,328,21,2000.0,5004
6708,13,0,0,4.2,38,351,357,13,2000.0,5004
6709,9,0,1,4.4,424,441,40,210,3500.0,5004
6710,21,0,0,4.1,1543,443,324,27,1200.0,5004
6711,23,1,1,4.0,188,69,980,23,1300.0,5004
6712,9,0,1,4.4,183,443,980,41,1800.0,5004
6713,9,1,0,4.2,121,443,980,9,1000.0,5004
6714,11,0,1,4.1,335,590,980,45,1800.0,5004
6715,13,0,1,3.9,747,508,324,21,1500.0,5004
6716,13,0,0,3.9,191,304,357,151,600.0,5004
6717,16,0,0,2.7,402,590,324,776,1000.0,5004
6718,22,0,0,3.9,234,22,328,22,1000.0,5004
6719,14,0,0,3.1,120,443,980,59,1200.0,5004
6720,13,0,0,3.7,293,441,324,70,1000.0,5004
6721,15,0,1,4.0,196,590,36,15,3000.0,5004
